date,open,close,high,low,volume,code
2014-12-10,10154.53,10545.51,10567.45,10048.46,230777165.0,sz
2014-12-11,10443.66,10478.88,10725.77,10387.59,236360778.0,sz
2014-12-12,10451.61,10462.31,10622.88,10390.02,203654486.0,sz
2014-12-15,10477.45,10504.23,10531.66,10298.38,210900936.0,sz
2014-12-16,10486.69,10668.62,10668.62,10429.56,213597665.0,sz
2014-12-17,10728.74,10786.72,10788.97,10533.12,228903587.0,sz
2014-12-18,10744.27,10665.18,10812.15,10656.35,182287145.0,sz
2014-12-19,10646.66,10627.11,10684.6,10382.29,212010611.0,sz
2014-12-22,10607.58,10608.51,10742.37,10474.92,243468178.0,sz
2014-12-23,10549.98,10570.79,10794.19,10490.14,167942724.0,sz
2014-12-24,10614.12,10292.52,10627.08,10179.26,153939596.0,sz
2014-12-25,10350.94,10493.78,10514.64,10296.0,148765843.0,sz
2014-12-26,10505.71,10802.64,10816.83,10487.91,172211278.0,sz
2014-12-29,10918.96,10780.4,10965.29,10665.26,201874878.0,sz
2014-12-30,10756.58,10722.26,10866.36,10660.2,165694591.0,sz
2014-12-31,10723.09,11014.62,11037.61,10711.33,159177993.0,sz
2015-01-05,11150.98,11520.59,11587.28,11150.98,218356371.0,sz
2015-01-06,11424.92,11667.97,11749.14,11374.5,211610179.0,sz
2015-01-07,11612.73,11613.36,11714.78,11505.03,168363335.0,sz
2015-01-08,11624.59,11465.14,11656.71,11371.92,164446779.0,sz
2015-01-09,11424.53,11324.76,11738.25,11313.25,161630131.0,sz
2015-01-12,11279.73,11285.18,11376.09,11116.06,139674749.0,sz
2015-01-13,11250.88,11355.81,11418.45,11244.42,124074775.0,sz
2015-01-14,11366.95,11237.78,11429.31,11153.17,121866764.0,sz
2015-01-15,11240.84,11483.68,11483.75,11161.52,125831591.0,sz
2015-01-16,11496.76,11532.8,11583.73,11436.28,147255651.0,sz
2015-01-19,10939.04,10770.93,11204.49,10634.62,195380051.0,sz
2015-01-20,10761.28,10996.48,11026.05,10750.85,180890060.0,sz
2015-01-21,11051.95,11372.18,11395.1,11000.74,211736675.0,sz
2015-01-22,11358.44,11471.21,11499.44,11342.08,192754273.0,sz
2015-01-23,11507.44,11436.29,11554.52,11379.96,184716575.0,sz
2015-01-26,11564.22,11686.97,11711.89,11512.01,182670707.0,sz
2015-01-27,11670.24,11551.87,11705.91,11368.99,204002043.0,sz
2015-01-28,11484.99,11354.2,11530.09,11309.21,168074641.0,sz
2015-01-29,11187.3,11249.04,11319.47,11161.43,157201233.0,sz
2015-01-30,11290.45,11150.69,11354.09,11132.8,155497385.0,sz
2015-02-02,10952.14,10963.14,11140.97,10921.44,133739037.0,sz
2015-02-03,11077.48,11209.19,11216.68,10993.55,146276254.0,sz
2015-02-04,11241.98,11116.55,11364.38,11111.53,156536477.0,sz
2015-02-05,11367.14,11065.58,11386.73,11065.58,176346160.0,sz
2015-02-06,11022.49,10791.1,11054.94,10715.43,150814387.0,sz
2015-02-09,10792.0,10868.14,10975.85,10760.05,120543174.0,sz
2015-02-10,10887.68,11136.62,11136.62,10875.29,108338195.0,sz
2015-02-11,11174.31,11265.63,11318.46,11167.12,128216716.0,sz
2015-02-12,11268.59,11302.73,11348.32,11185.0,133836200.0,sz
2015-02-13,11362.0,11443.05,11564.68,11338.01,166967815.0,sz
2015-02-16,11474.88,11595.25,11606.01,11437.74,166436043.0,sz
2015-02-17,11658.05,11718.56,11772.15,11644.54,149360506.0,sz
2015-02-25,11755.18,11539.7,11755.18,11500.69,152713036.0,sz
2015-02-26,11526.51,11750.78,11752.01,11470.43,165245772.0,sz
2015-02-27,11736.29,11757.68,11819.42,11719.66,182015566.0,sz
2015-03-02,11869.96,11884.02,11955.82,11781.61,241960804.0,sz
2015-03-03,11800.99,11526.22,11800.99,11515.55,253464630.0,sz
2015-03-04,11530.93,11655.08,11688.28,11521.7,218303073.0,sz
2015-03-05,11597.49,11566.39,11628.15,11484.8,224195903.0,sz
2015-03-06,11600.66,11392.4,11626.11,11381.91,202058642.0,sz
2015-03-09,11280.02,11533.23,11547.83,11169.05,184948411.0,sz
2015-03-10,11501.98,11556.65,11649.25,11479.28,195230721.0,sz
2015-03-11,11554.66,11525.09,11682.54,11491.69,193400967.0,sz
2015-03-12,11593.69,11635.59,11645.56,11516.25,198461273.0,sz
2015-03-13,11680.47,11713.61,11751.2,11654.19,179148224.0,sz
2015-03-16,11791.42,12017.77,12021.82,11748.08,254026630.0,sz
2015-03-17,12083.44,12169.52,12190.28,12046.8,315381790.0,sz
2015-03-18,12206.72,12496.24,12505.34,12190.25,322145855.0,sz
