,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
226,603508,思维列控,-0.342,34.98,35.0,35.4,34.5,35.1,828901.0,1.27132,28974416.0,42.659,2.15,559680.0,228069.6
227,603507,振江股份,-2.948,19.75,20.49,20.49,19.7,20.35,672321.0,2.14061,13417038.0,16.924,1.794,252960.765,62030.6025
228,603506,南都物业,-1.861,25.31,25.6,26.19,25.05,25.79,1175621.0,4.55779,30119298.0,20.087,3.393,261134.922724,65283.730681
229,603505,金石资源,-4.333,13.69,14.28,14.4,13.5,14.31,2186400.0,1.95154,30382643.0,39.114,4.398,328560.0,153375.34002
230,603501,韦尔股份,0.0,37.7,0.0,0.0,0.0,37.7,0.0,0.0,0.0,110.882,11.893,1718418.5538,514850.05
231,603500,祥和实业,-6.657,12.62,13.31,13.51,12.6,13.52,3419940.0,7.75497,44538098.0,16.605,1.996,222616.8,55654.2
232,603499,翔港科技,-7.614,22.69,24.56,24.56,22.34,24.56,2075100.0,8.3004,48368862.0,39.195,4.287,229895.9876,56725.0
233,603496,恒为科技,-1.656,20.79,20.82,21.25,20.6,21.14,793448.0,1.0431,16585488.0,24.18,3.083,295342.74,158142.509217
234,603488,展鹏科技,-4.353,8.13,8.4,8.5,8.1,8.5,2475120.0,2.56518,20537647.0,21.395,2.093,169869.033,78445.53261
235,603486,科沃斯,-6.896,51.44,53.72,54.2,50.74,55.25,5546705.0,13.83218,291104484.0,49.462,14.739,2058114.4,206274.4
236,603477,振静股份,-4.234,11.31,11.65,11.65,10.91,11.81,5785989.0,9.64331,65424779.0,32.314,3.357,271440.0,67860.0
237,603466,风语筑,-0.158,25.22,25.25,25.57,24.62,25.26,1697400.0,2.3575,42793252.0,17.274,2.697,736300.422,181584.0
238,603458,勘设股份,-6.247,38.12,39.01,39.99,37.9,40.66,1238778.0,3.99118,48224374.0,11.987,2.349,473265.392204,118316.349004
239,603456,九洲药业,-3.088,6.59,6.74,6.8,6.54,6.8,2537440.0,0.31811,16891603.0,19.97,1.081,531128.411689,525660.029689
240,603444,吉比特,-0.098,111.94,112.05,112.93,109.6,112.05,423050.0,1.02562,47132017.0,13.123,3.253,804649.62665,461732.46274
